National University of Singapore (NUS),,,,,,,
Nationality,Education Track,Results (GPA),A-level Results,IB Score,University,Course Name,Results
Singaporean,JC,,82.5,,NUS,INDUSTRIAL AND SYSTEMS ENGINEERING AND MANAGEMENT,Accepted by direct entry/discovery day
PR,JC,,85,,NUS,INDUSTRIAL DESIGN,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,INDUSTRIAL DESIGN,Accepted by direct entry/discovery day
Singaporean,JC,,78.75,,NUS,INDUSTRIAL DESIGN,Accepted by ABA
International,IB,,,43,NUS,INFORMATION SECURITY,Rejected
International,IB,,,43,NUS,INFORMATION SYSTEM,Rejected
Singaporean,JC,,78.75,,NUS,LANDSCAPE ARCHITECTURE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,LAW,Rejected
Singaporean,JC,,90,,NUS,LAW,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,LAW AND BUSINESS,Accepted by direct entry/discovery day
Singaporean,IB,,,40,NUS,LAW AND PUBLIC POLICY,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,LAW WITH NUS COLLEGE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,LAW WITH NUS COLLEGE,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,LAW WITH NUSC,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,LIFE SCIENCES WITH MANAGEMENT (DOUBLE DEGREE),Accepted by direct entry/discovery day
Singaporean,JC,,81.25,,NUS,MECH ENG SPEC IN ROBOTICS,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,MEDICINE,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,MEDICINE,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,MEDICINE,Accepted by ABA
Singaporean,JC,,87.5,,NUS,MEDICINE,Shortlisted for interview/written test but rejected
Singaporean,IB,,,45,NUS,MEDICINE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,MEDICINE,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,MEDICINE,Shortlisted for interview/written test but rejected
Singaporean,JC,,82.5,,NUS,NURSING,Accepted by direct entry/discovery day
Singaporean,JC,,73.75,,NUS,NURSING,Accepted by direct entry/discovery day
Singaporean,Poly,3.47,,,NUS,NURSING,Accepted by ABA
Singaporean,JC,,88.75,,NUS,NUS CHS DATA SCIENCE AND ECONOMICS,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,NUS COLLEGE,Accepted by ABA
Singaporean,JC,,70,,NUS,NUS ENGINEERING,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,NUS-SCIENCES PO DOUBLE DEGREE PROGRAMME,Rejected
Singaporean,JC,,88.75,,NUS,NUSC SOCIOLOGY,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,PHARMACEUTICAL SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,PHARMACEUTICAL SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,PHARMACEUTICAL SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75 + H3 Distinction,,NUS,PHARMACEUTICAL SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,PHARMACEUTICAL SCIENCE,Rejected
International,IB,,,43,NUS,PHARMACEUTICAL SCIENCE,Rejected
Singaporean,JC,,88.75,,NUS,PHARMACEUTICAL SCIENCE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,PHARMACEUTICAL SCIENCE WITH NUS COLLEGE,Accepted by direct entry/discovery day
Singaporean,JC,,88.75 + H3 Merit,,NUS,PHARMACEUTICAL SCIENCE WITH NUS COLLEGE,Accepted by direct entry/discovery day
Singaporean,JC,,87.5,,NUS,PHARMACY,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,PHARMACY,Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,PHARMACY,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,PHARMACY,Accepted by direct entry/discovery day
Singaporean,JC,,87.75,,NUS,PHARMACY,Accepted by direct entry/discovery day
International,IB,,,44,NUS,PHARMACY,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,PHARMACY,Accepted by direct entry/discovery day
Singaporean,JC,,88.75,,NUS,PHARMACY,Accepted by direct entry/discovery day
Singaporean,JC,,86.25,,NUS,PHARMACY,Accepted by ABA
Singaporean,JC,,90,,NUS,PHARMACY,Accepted by direct entry/discovery day
Singaporean,JC,,90,,NUS,"PHILOSOPHY, POLITICS AND ECONOMICS WITH NUS COLLEGE",Accepted by direct entry/discovery day
Singaporean,JC,,85,,NUS,"PHILOSOPHY, POLITICS, AND ECONOMICS WITH NUS COLLEGE",Accepted by direct entry/discovery day
Singaporean,JC,,83.75,,NUS,PSYCHOLOGY WITH MANAGEMENT (DOUBLE MAJOR),Accepted by direct entry/discovery day
Singaporean,JC,,86.625,,NUS,PSYCHOLOGY WITH SECOND MAJOR IN MANAGEMENT,Accepted by direct entry/discovery day
Singaporean,Poly,3.54,,,NUS,REAL ESTATE,Accepted by ABA
Singaporean,JC,,81,,NUS,REAL ESTATE,Accepted by direct entry/discovery day
Singaporean,JC,,72.5,,NUS,REAL ESTATE,Accepted by ABA
Singaporean,JC,,71.25,,NUS,REAL ESTATE,Shortlisted for interview/written test but rejected
